last,parent,child,childOfficial,protect,title,nickname,parentInfo,out,special,protectLevel,characteristic,living,hab,hab2,low,high,陽明山國家公園,太魯閣國家公園,玉山國家公園,雪霸國家公園,墾丁國家公園,金門國家公園,東沙國家公園,台江國家公園,壽山國家自然公園,location,data
1,蘇鐵科,臺東蘇鐵,Cycas taitungensis C. F. Shen  K. D. Hill  C. H. Tsou & C. J. Chen,0,"臺東蘇鐵(Cycas taitungensis C. F. Shen  K. D. Hill  C. H. Tsou & C. J. Chen)
","俗名：台東蘇鐵
","科：蘇鐵科 (Cycadaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠木本。本種頗似蘇鐵，但全形高大。葉柄斷面略作方圓形，下部具疏生而平出之細刺；小葉多者可達200對，質軟而扁平，長約20公分，寬約7公釐，兩緣不向裏反卷。雄蕊長約4.5公分，先端作三角形，斷面則呈扁三角形。種子為扁闊橢圓形，與蘇鐵有別。

",生態習性：分布於臺東海拔600公尺以下之林內。,,,,,0,0,1,0,0,0,0,0,0,"分布區域：玉山國家公園
",
1,紅豆杉科,臺灣穗花杉,Amentotaxus formosana Li,0,"臺灣穗花杉(Amentotaxus formosana Li)
","俗名：台灣穗花杉
","科：紅豆杉科 (Taxaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠喬木。小枝對生。葉亦對生，線形而略作鐮刀狀彎曲，邊緣略向裏反卷，裏面具有顯著之中肋及 2 條粉白色之氣孔帶，帶闊約為邊緣之 2 倍，長約 6 公分，寬 9~10 公釐。雌雄異株；雄花成葇荑花序狀，每花具雄蕊 10 枚左右，每 1 雄蕊有葯約 10 枚；雌花球形。種子核果狀，長橢圓形，長可達 3 公分，徑達 1 公分，單立，腋出，基部有鱗片 5 列，熟時淡紅色，後變為紫色；長梗長 1~1.5 公分。

",生態習性：分布於臺東大武山海拔1200~1300公尺之闊葉樹林內。,,,,,0,0,0,0,0,0,0,0,0,,
1,粗榧科,臺灣粗榧,Cephalotaxus wilsoniana Hayata,0,"臺灣粗榧(Cephalotaxus wilsoniana Hayata)
","俗名：台灣粗榧
","科：粗榧科 (Cephalotaxaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠喬木。小枝無毛，頂芽常3枚並列。葉互生而扭轉成2列，線形，邊緣略為反卷，中肋表裏均凸起，裏面具有粉白色之闊氣孔帶2條，長3.5公分，寬3公釐。雌雄異株；雄花7~9朵成頭狀花序，著生於葉腋，每花有雄蕊5~8枚，雄蕊有葯3枚；雌花由數對心皮交叉對生而成，全體呈短穗狀，心皮肉質，內側各藏胚珠2枚。種子橢圓形，核果狀，先端有1小尖突，長約2.5公分，熟時暗紫色；果梗長達1公分。

",生態習性：分布於全台海拔20000公尺左右之森林內，以玉山前山、大霸尖山、合歡山及能高山等地為多。,,,,,0,1,1,1,0,0,0,0,0,"分布區域：太魯閣國家公園、玉山國家公園、雪霸國家公園
",
1,柏科,臺灣肖楠,Calocedrus macrolepis Kurz var. formosana (Florin) Cheng & L.K. Fu.,0,"臺灣肖楠(Calocedrus macrolepis Kurz var. formosana (Florin) Cheng & L.K. Fu.)
","俗名：台灣肖楠
","科：柏科 (Cupressaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠喬木。葉呈鱗片狀，每4枚合生，全體扁平，表面深綠色，裏面蒼綠色。雄花生枝頂，由16~18枚雄蕊構成；每雄蕊有葯3枚。毬果長橢圓形，上部微彎曲，長10~15公釐，寬約4~6公釐；果鱗4枚，十字形對生，僅兩側者結實；各生種子1或2枚。種子有翅，全長8~12公釐。

",生態習性：分布於海拔 300~1900公尺之地。生育環境為向陽坡。,,,,,1,1,1,1,0,0,0,0,0,"分布區域：陽明山國家公園、太魯閣國家公園、玉山國家公園、雪霸國家公園
",
1,柏科,紅檜,Chamaecyparis formosensis Matsum.,0,"紅檜(Chamaecyparis formosensis Matsum.)
",,"科：柏科 (Cupressaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠大喬木。樹皮薄而呈淡紅褐色。小枝平扁。葉在小枝側面作覆瓦狀對生，鱗片狀，先端尖銳，表面深綠，裏側粉白，並具白色凹溝。雌雄同株；雄花卵形或近於球形，由多數十字形對生之雄蕊構成。毬果橢圓形，長8~12公釐，徑約5~9公釐；果鱗盾形，全部約10~13枚，其內著生薄翅之種子1~3粒。紅檜與臺灣扁柏之區別點為：紅檜之鱗葉細而尖；毬果橢圓形；果鱗10~13枚。

",生態習性：分布於中央山脈海拔 1000~2800公尺之地區，主產於文山、插天山、阿里山、八仙山、大雪山、林田山、太魯閣、巒大山、太平山、大元山、關山、木瓜山、小雪山、楠梓仙溪、南澳及大溪等地國立台灣大學實驗林之溪頭營林區，曾建造紅檜人工林，生育頗佳溪頭及阿里山之神木，即屬本種。生育環境為終年涼濕多霧環境。,,,,,0,1,1,1,0,0,0,0,0,"分布區域：太魯閣國家公園、玉山國家公園、雪霸國家公園
",
1,柏科,臺灣扁柏,Chamaecyparis obtusa Siebold & Zucc. var. formosana (Hayata)Rehder,0,"臺灣扁柏(Chamaecyparis obtusa Siebold & Zucc. var. formosana (Hayata)Rehder)
","俗名：台灣扁柏
","科：柏科 (Cupressaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠大喬木。幹皮灰紅色，淺縱裂。葉先端鈍或略銳。毬果球形，徑9~10公釐，果鱗8~10枚，各有種子2~3粒。種子有微翅，徑約3公釐。 本變種與原種極相似，其區別為： 臺灣扁柏   葉先端鈍或銳；毬果直徑為9~10公釐；日本扁柏   葉先端鈍；毬果直徑為10~12公釐。

",生態習性：分布於中央山脈海拔 1300~2900公尺之地帶太平山、大元山、八仙山、大雪山、阿里山、林田山、太魯閣及木瓜山等處，尚存有大面積之原生林。生育環境為終年涼濕多霧環境。,,,,,0,1,1,1,0,0,0,0,0,"分布區域：太魯閣國家公園、玉山國家公園、雪霸國家公園
",
1,柏科,清水圓柏,Juniperus chinensis L. var. taiwanensis R. P. Adams & C. F. Hsieh 2002,0,"清水圓柏(Juniperus chinensis L. var. taiwanensis R. P. Adams & C. F. Hsieh 2002)
",,"科：柏科 (Cupressaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：常綠小喬木。樹高0.3到１公尺，為圓柏之變種。葉為鱗片葉或也有刺形葉，葉對生或三葉輪生。幼葉線形，背面有稜；普通葉鱗狀，交互對生。雄毬花單一，頂生或腋生，雌花4-8對對生或3片輪生。毬果圓球形，成熟為藍紫色。

",,,,,,1,1,1,1,0,0,0,0,0,"分布區域：陽明山國家公園、太魯閣國家公園、玉山國家公園、雪霸國家公園
",
1,柏科,刺柏,Juniperus chinensis L. var. tsukusiensis Masam.,0,"刺柏(Juniperus chinensis L. var. tsukusiensis Masam.)
",,"科：柏科 (Cupressaceae)
","外來種：否
","特有種：是
","保育等級：無

","形態特徵：匍匐灌木。高約2公尺。幹與枝均呈顯著彎曲，小枝斜生或直立。鱗葉長寬各為1.5公釐左右；幼樹著生針葉，葉長約4~6公釐，寬約1公釐，先端銳尖，中肋表面凹入，裏面突出。毬果肉質，球形，徑約5公釐，色常青而被有白粉。本種與圓柏極類似，但幹呈匍匐性，莖枝常彎曲，可供區別。

",生態習性：分布於花蓮清水山海拔約2200公尺之斷岩間。生育環境為耐低溫、強風、貧瘠的山坡岩地。,,,,,0,0,0,0,0,0,0,0,0,,
1,柏科,香青,Juniperus formosana Hayata,0,"香青(Juniperus formosana Hayata)
",,"科：柏科 (Cupressaceae)
","外來種：否
","特有種：否
","保育等級：無

","形態特徵：常綠小喬木或灌木。葉3枚輪生，狹線形，先端刺尖，基部有關節，長10~16公釐，寬1~2公釐，表面具有2白色闊氣孔帶，裏面灰綠色。雄花橢圓形；雄蕊多數，對生，基部著生多數葯囊。毬果球形，徑約7~8公釐；果鱗3枚，肉質，相互癒合，基部有卵形之鱗片數枚，頂端則遺有縫痕3條及小凸突3枚，熟時橙黃色，內含種子3粒，種皮骨質。

",生態習性：分布於中央山脈海拔 2300~3000公尺之處。另分布於長江流域及西北諸省。,,,,,0,1,1,1,0,0,0,0,0,"分布區域：太魯閣國家公園、玉山國家公園、雪霸國家公園
",
1,柏科,臺灣冷杉,Juniperus squamata Buch.-Ham. apud Lamb.,0,"臺灣冷杉(Juniperus squamata Buch.-Ham. apud Lamb.)
","俗名：玉山圓柏
","科：柏科 (Cupressaceae)
","外來種：否
","特有種：否
","保育等級：無

","形態特徵：常綠灌木或小喬木。幹高5~10公尺，莖匍匐狀。葉3枚輪列而密生，披針形；在嫩枝上者為線形，內側微帶粉白色，外側濃綠色，先端尖銳，長達5公釐。雄花闊卵形，雄蕊8枚，各具3葯。毬果橢圓形，長約6公釐，上有數微間突，基部則有苞片數枚，熟時黑紫色。種子1粒。其與原種之區別點，在果為橢圓形，葉略柔長。本變種極近似刺柏，惟葉甚短 (3~5公釐)，全形密生而略柔軟；毬果紫黑而僅有種子1粒，可供區別。

",生態習性：中央山脈海拔 3000公尺以上之高地，為台灣針葉樹中分布最高者。生育環境為耐低溫、強風、貧瘠的高山岩地。,,,,,0,1,1,1,0,0,0,0,0,"分布區域：太魯閣國家公園、玉山國家公園、雪霸國家公園
",
